"Variables ->","cpi","vm_cpi","va_cpi","va_cpi_core","ner","i","MB","ME","M1","M2","PS_CRED","gdp_index","REM","gdp_index_star","i_star","cpi_core","pce","pce_core","pet","L_cpi","L_ner","L_MB","L_ME","L_M1","L_M2","L_PS_CRED","L_gdp_index","L_REM","L_gdp_index_star","L_cpi_core","L_pce","L_pce_core","L_pet","D4L_cpi","D4L_ner","D4L_MB","D4L_ME","D4L_M1","D4L_M2","D4L_PS_CRED","D4L_gdp_index","D4L_REM","D4L_gdp_index_star","D4L_cpi_core","D4L_pce","D4L_pce_core","D4L_pet","DLA_cpi","DLA_ner","DLA_MB","DLA_ME","DLA_M1","DLA_M2","DLA_PS_CRED","DLA_gdp_index","DLA_REM","DLA_gdp_index_star","DLA_cpi_core","DLA_pce","DLA_pce_core","DLA_pet","l_gdp_m","l_gdp_m_sa","d4l_gdp_m","dla_gdp_m","l_gdp_m_star","d4l_gdp_m_star","dla_gdp_m_star","YT_hp","l_gdp_gap_hp","YT_star_hp","l_gdp_gap_star_hp","YT_ham","l_gdp_gap_ham","YT_star_ham","l_gdp_star_gap_ham"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2001M01",1.75600000e+02,NaN,6.05000000e+00,NaN,7.80000000e+00,5.72000000e+00,1.16111000e+04,7.59850000e+03,1.82603000e+04,3.94422000e+04,2.65681000e+04,6.72204587e+01,NaN,8.79500000e+01,5.74000000e+00,1.83900000e+02,7.49320000e+01,7.57960000e+01,2.95857143e+01,5.16820868e+00,2.05412373e+00,9.35971682e+00,8.93570614e+00,9.81248458e+00,1.05825916e+01,1.01874665e+01,4.20797765e+00,NaN,4.47676847e+00,5.21439213e+00,4.31658104e+00,4.32804552e+00,3.38729162e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.20797765e+00,4.17802412e+00,NaN,NaN,4.47676847e+00,NaN,NaN,4.17266499e+00,5.35912857e-03,4.47173166e+00,5.03681387e-03,NaN,NaN,NaN,NaN
"2001M02",1.76000000e+02,7.29999030e-01,5.99000000e+00,NaN,7.74000000e+00,6.24000000e+00,1.17861000e+04,7.61860000e+03,1.77487000e+04,3.89694000e+04,2.65913000e+04,6.59064663e+01,NaN,8.80900000e+01,5.59000000e+00,1.84400000e+02,7.50480000e+01,7.59300000e+01,2.96094737e+01,5.17048400e+00,2.04640169e+00,9.37467615e+00,8.93834790e+00,9.78406755e+00,1.05705320e+01,1.01883394e+01,4.18823656e+00,NaN,4.47835902e+00,5.21710731e+00,4.31812791e+00,4.32981186e+00,3.38809437e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.27531384e-03,-7.72204609e-03,1.49593339e-02,2.64176639e-03,-2.84170306e-02,-1.20595863e-02,8.72846626e-04,-1.97410861e-02,NaN,1.59054794e-03,2.71517951e-03,1.54687322e-03,1.76634242e-03,8.02747388e-04,4.18823656e+00,4.18108622e+00,NaN,3.06210640e-03,4.47835902e+00,NaN,1.59054794e-03,4.17550809e+00,5.57813758e-03,4.47232191e+00,6.03710877e-03,NaN,NaN,NaN,NaN
"2001M03",1.76100000e+02,5.38634805e-01,5.42000000e+00,NaN,7.70000000e+00,5.40000000e+00,1.19617000e+04,7.80030000e+03,1.85794000e+04,3.96114000e+04,2.69141000e+04,6.88095359e+01,NaN,8.81700000e+01,5.29000000e+00,1.84700000e+02,7.50550000e+01,7.60090000e+01,2.72445455e+01,5.17105202e+00,2.04122033e+00,9.38946516e+00,8.96191747e+00,9.82980872e+00,1.05868722e+01,1.02004056e+01,4.23134234e+00,NaN,4.47926677e+00,5.21873289e+00,4.31822118e+00,4.33085175e+00,3.30485333e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.68020464e-04,-5.18135874e-03,1.47890079e-02,2.35695687e-02,4.57411663e-02,1.63402328e-02,1.20662182e-02,4.31057791e-02,NaN,9.07749977e-04,1.62557608e-03,9.32692885e-05,1.03989110e-03,-8.32410328e-02,4.23134234e+00,4.18025807e+00,NaN,-8.28151108e-04,4.47926677e+00,NaN,9.07749977e-04,4.17835155e+00,1.90651692e-03,4.47291251e+00,6.35425593e-03,NaN,NaN,NaN,NaN
"2001M04",1.76400000e+02,4.28599253e-01,4.87000000e+00,NaN,7.75000000e+00,4.42000000e+00,1.19378000e+04,7.80380000e+03,1.83224000e+04,3.95561000e+04,2.69248000e+04,6.70582373e+01,NaN,8.81700000e+01,4.67000000e+00,1.85100000e+02,7.51870000e+01,7.61300000e+01,2.74900000e+01,5.17275414e+00,2.04769284e+00,9.38746512e+00,8.96236607e+00,9.81587963e+00,1.05854752e+01,1.02008031e+01,4.20556145e+00,NaN,4.47926677e+00,5.22089622e+00,4.31997834e+00,4.33244241e+00,3.31382230e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.70212807e-03,6.47251451e-03,-2.00004251e-03,4.48600055e-04,-1.39290850e-02,-1.39703815e-03,3.97482123e-04,-2.57808843e-02,NaN,0.00000000e+00,2.16333237e-03,1.75716556e-03,1.59065099e-03,8.96896808e-03,4.20556145e+00,4.18198542e+00,NaN,1.72734780e-03,4.47926677e+00,NaN,0.00000000e+00,4.18119616e+00,7.89263474e-04,4.47350423e+00,5.76253431e-03,NaN,NaN,NaN,NaN
"2001M05",1.77300000e+02,3.00678953e-01,6.05000000e+00,NaN,7.77000000e+00,5.05000000e+00,1.19315000e+04,7.73020000e+03,1.78268000e+04,4.06885000e+04,2.23768000e+04,6.41326038e+01,NaN,8.83100000e+01,4.24000000e+00,1.85300000e+02,7.53850000e+01,7.61480000e+01,2.86290909e+01,5.17784321e+00,2.05027016e+00,9.38693724e+00,8.95289001e+00,9.78845822e+00,1.06137008e+01,1.00157800e+01,4.16095287e+00,NaN,4.48085335e+00,5.22197613e+00,4.32260832e+00,4.33267882e+00,3.35442337e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.08906951e-03,2.57732101e-03,-5.27874730e-04,-9.47605906e-03,-2.74214121e-02,2.82255798e-02,-1.85023087e-01,-4.46085801e-02,NaN,1.58658238e-03,1.07991371e-03,2.62997256e-03,2.36409725e-04,4.06010634e-02,4.16095287e+00,4.17669363e+00,NaN,-5.29179078e-03,4.48085335e+00,NaN,1.58658238e-03,4.18404278e+00,-7.34915217e-03,4.47409829e+00,6.75506598e-03,NaN,NaN,NaN,NaN
"2001M06",1.77700000e+02,7.34938597e-01,6.30000000e+00,NaN,7.80000000e+00,4.98000000e+00,1.17870000e+04,7.78760000e+03,1.76270000e+04,4.17557000e+04,2.25413000e+04,6.05569835e+01,NaN,8.82700000e+01,3.95000000e+00,1.86000000e+02,7.55180000e+01,7.63180000e+01,2.75990476e+01,5.18009674e+00,2.05412373e+00,9.37475251e+00,8.96028800e+00,9.77718710e+00,1.06395912e+01,1.00231045e+01,4.10358480e+00,NaN,4.48040030e+00,5.22574667e+00,4.32437104e+00,4.33490882e+00,3.31778127e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.25352208e-03,3.85356932e-03,-1.21847324e-02,7.39798964e-03,-1.12711255e-02,2.58904717e-02,7.32447434e-03,-5.73680771e-02,NaN,-4.53052449e-04,3.77054042e-03,1.76272220e-03,2.23000630e-03,-3.66420999e-02,4.10358480e+00,4.16737089e+00,NaN,-9.32274378e-03,4.48040030e+00,NaN,-4.53052449e-04,4.18689238e+00,-1.95214912e-02,4.47469628e+00,5.70402326e-03,NaN,NaN,NaN,NaN
"2001M07",1.77400000e+02,8.73572028e-01,6.97000000e+00,NaN,7.80000000e+00,4.83000000e+00,1.21245000e+04,7.98780000e+03,1.83583000e+04,4.20500000e+04,2.27873000e+04,6.42346553e+01,NaN,8.82900000e+01,3.82000000e+00,1.86400000e+02,7.54930000e+01,7.65150000e+01,2.64247619e+01,5.17840707e+00,2.05412373e+00,9.40298348e+00,8.98567066e+00,9.81783707e+00,1.06466147e+01,1.00339586e+01,4.16254287e+00,NaN,4.48062685e+00,5.22789490e+00,4.32403994e+00,4.33748680e+00,3.27430152e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.68966529e-03,0.00000000e+00,2.82309696e-02,2.53826526e-02,4.06499709e-02,7.02341749e-03,1.08541810e-02,5.89580704e-02,NaN,2.26551881e-04,2.14822854e-03,-3.31101711e-04,2.57797870e-03,-4.34797443e-02,4.16254287e+00,4.17158764e+00,NaN,4.21675674e-03,4.48062685e+00,NaN,2.26551881e-04,4.18974538e+00,-1.81577364e-02,4.47530029e+00,5.32656575e-03,NaN,NaN,NaN,NaN
"2001M08",1.77400000e+02,1.24666921e+00,8.79000000e+00,NaN,7.85000000e+00,4.83000000e+00,1.20131000e+04,7.86270000e+03,1.76078000e+04,4.21588000e+04,2.26693000e+04,6.39905608e+01,NaN,8.82400000e+01,3.66000000e+00,1.86700000e+02,7.54840000e+01,7.65530000e+01,2.73739130e+01,5.17840707e+00,2.06051353e+00,9.39375300e+00,8.96988534e+00,9.77609726e+00,1.06491987e+01,1.00287669e+01,4.15873559e+00,NaN,4.48006037e+00,5.22950305e+00,4.32392071e+00,4.33798331e+00,3.30959048e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000e+00,6.38979810e-03,-9.23047784e-03,-1.57853188e-02,-4.17398026e-02,2.58405441e-03,-5.19177699e-03,-3.80728241e-03,NaN,-5.66475968e-04,1.60814830e-03,-1.19223458e-04,4.96511365e-04,3.52889597e-02,4.15873559e+00,4.17723411e+00,NaN,5.64646886e-03,4.48006037e+00,NaN,-5.66475968e-04,4.19260087e+00,-1.53667570e-02,4.47591279e+00,4.14758559e-03,NaN,NaN,NaN,NaN
