DATE,USPHCI
1979-01-01,45.62
1979-02-01,45.77
1979-03-01,46.00
1979-04-01,46.07
1979-05-01,46.29
1979-06-01,46.42
1979-07-01,46.54
1979-08-01,46.58
1979-09-01,46.68
1979-10-01,46.77
1979-11-01,46.88
1979-12-01,46.94
1980-01-01,46.98
1980-02-01,47.08
1980-03-01,47.15
1980-04-01,47.04
1980-05-01,46.88
1980-06-01,46.79
1980-07-01,46.70
1980-08-01,46.81
1980-09-01,46.94
1980-10-01,47.07
1980-11-01,47.21
1980-12-01,47.42
1981-01-01,47.47
1981-02-01,47.60
1981-03-01,47.68
1981-04-01,47.82
1981-05-01,47.84
1981-06-01,47.96
1981-07-01,48.10
1981-08-01,48.11
1981-09-01,48.11
1981-10-01,48.07
1981-11-01,48.00
1981-12-01,47.93
1982-01-01,47.85
1982-02-01,47.83
1982-03-01,47.81
1982-04-01,47.72
1982-05-01,47.74
1982-06-01,47.67
1982-07-01,47.59
1982-08-01,47.59
1982-09-01,47.49
1982-10-01,47.39
1982-11-01,47.32
1982-12-01,47.38
1983-01-01,47.56
1983-02-01,47.60
1983-03-01,47.75
1983-04-01,47.92
1983-05-01,48.10
1983-06-01,48.29
1983-07-01,48.64
1983-08-01,48.62
1983-09-01,49.09
1983-10-01,49.36
1983-11-01,49.62
1983-12-01,49.88
1984-01-01,50.17
1984-02-01,50.47
1984-03-01,50.68
1984-04-01,50.93
1984-05-01,51.19
1984-06-01,51.46
1984-07-01,51.60
1984-08-01,51.79
1984-09-01,52.03
1984-10-01,52.20
1984-11-01,52.45
1984-12-01,52.56
1985-01-01,52.75
1985-02-01,52.91
1985-03-01,53.11
1985-04-01,53.25
1985-05-01,53.45
1985-06-01,53.55
1985-07-01,53.71
1985-08-01,53.93
1985-09-01,54.09
1985-10-01,54.24
1985-11-01,54.43
1985-12-01,54.58
1986-01-01,54.79
1986-02-01,54.80
1986-03-01,54.93
1986-04-01,55.10
1986-05-01,55.20
1986-06-01,55.28
1986-07-01,55.51
1986-08-01,55.65
1986-09-01,55.83
1986-10-01,55.99
1986-11-01,56.17
1986-12-01,56.40
1987-01-01,56.55
1987-02-01,56.72
1987-03-01,56.91
1987-04-01,57.18
1987-05-01,57.35
1987-06-01,57.53
1987-07-01,57.76
1987-08-01,57.94
1987-09-01,58.14
1987-10-01,58.37
1987-11-01,58.61
1987-12-01,58.84
1988-01-01,58.98
1988-02-01,59.23
1988-03-01,59.44
1988-04-01,59.71
1988-05-01,59.85
1988-06-01,60.13
1988-07-01,60.31
1988-08-01,60.41
1988-09-01,60.68
1988-10-01,60.87
1988-11-01,61.12
1988-12-01,61.31
1989-01-01,61.48
1989-02-01,61.74
1989-03-01,61.95
1989-04-01,62.06
1989-05-01,62.22
1989-06-01,62.31
