,cpi,vm_cpi,va_cpi,va_cpi_core,ner,i,MB,ME,M1,M2,PS_CRED,gdp_index,REM,gdp_index_star,i_star,cpi_core,cpi,pce,pce_core
Comments ->,,,,,,,,,,,,,,,,,,,
2001M01,30.23975661,NaN,6.05,NaN,7.8,5.72,11611.1,7598.5,18260.3,39442.2,26568.1,67.22045868,NaN,87.95,5.74,183.9,175.6,74.932,75.796
2001M02,30.46050654,0.72999903,5.99,NaN,7.74,6.24,11786.1,7618.6,17748.7,38969.4,26591.3,65.90646631,NaN,88.09,5.59,184.4,176,75.048,75.93
2001M03,30.62457743,0.538634805,5.42,NaN,7.7,5.4,11961.7,7800.3,18579.4,39611.4,26914.1,68.80953592,NaN,88.17,5.29,184.7,176.1,75.055,76.009
2001M04,30.75583414,0.428599253,4.87,NaN,7.75,4.42,11937.8,7803.8,18322.4,39556.1,26924.8,67.05823725,NaN,88.17,4.67,185.1,176.4,75.187,76.13
2001M05,30.84831046,0.300678953,6.05,NaN,7.77,5.05,11931.5,7730.2,17826.8,40688.5,22376.8,64.13260381,NaN,88.31,4.24,185.3,177.3,75.385,76.148
2001M06,31.0750266,0.734938597,6.3,NaN,7.8,4.98,11787,7787.6,17627,41755.7,22541.3,60.55698347,NaN,88.27,3.95,186,177.7,75.518,76.318
2001M07,31.34648934,0.873572028,6.97,NaN,7.8,4.83,12124.5,7987.8,18358.3,42050,22787.3,64.23465533,NaN,88.29,3.82,186.4,177.4,75.493,76.515
2001M08,31.73727637,1.246669207,8.79,NaN,7.85,4.83,12013.1,7862.7,17607.8,42158.8,22669.3,63.99056082,NaN,88.24,3.66,186.7,177.4,75.484,76.553
2001M09,31.83870201,0.319578904,8.99,NaN,7.95,4.63,12219,7893.8,18652.3,42768.5,22979.5,62.88037021,NaN,88.22,2.75,187.1,178.1,75.227,76.118
2001M10,32.07735059,0.749554991,9.47,NaN,8.11,4.47,12637.23,8248.3,18507.5,42798.5,23554.2,64.41119795,NaN,88.08,2.66,187.4,177.6,75.492,76.654
2001M11,32.30108361,0.697479735,9.51,NaN,8.08,4.93,12399.4,8500.1,18938,43286,23906.8,67.80653327,NaN,87.99,2.06,188.1,177.5,75.441,76.81
2001M12,32.48901936,0.581824908,8.91,NaN,7.96,4.52,13953.2,9475.9,20112.6,45173.3,24426.8,72.62486454,NaN,87.95,1.52,188.4,177.4,75.363,76.828
2002M01,32.91560368,1.31301076,8.85,7.373404765,8.02,4.53,13770.7,8783.1,19571.4,44787.8,24348.4,69.46373306,83.2,88,1.85,188.7,177.7,75.431,76.871
2002M02,33.20496506,0.879100936,9.01,7.676758638,7.94,4.23,13179,8813.8,19924.9,44989.1,24471.2,67.82854034,96.7,88.03,1.83,189.1,178,75.558,77.018
2002M03,33.41974877,0.64684215,9.13,7.693315199,7.91,5.25,14023.24,9340.7,20545.7,45538.7,24680,70.68213865,109,88.12,1.74,189.2,178.5,75.763,77.11
